		HOLA	                                                                             TEL.	4282-9358 / 1555234202 / 1522112978 / 				494*7130					
	BANDEJAS	BANDEJAS DE CARTON REDONDAS	    Nº 12	$39,00	100,00	$34,80	10,00	$348,00	10,77	PAQ	PAQ DE 100 UNID.  DE     Nº 12 A $39 C/U	10 PAQS DE $34,8 C/U A $348	0,1 PAQS DE 100 UNIDADES A $348
	BANDEJAS	BANDEJAS DE CARTON REDONDAS	    Nº 12,5	$46,00	100,00	$40,80	10,00	$408,00	11,30	PAQ	PAQ DE 100 UNID.  DE     Nº 12,5 A $46 C/U	10 PAQS DE $40,8 C/U A $408	0,1 PAQS DE 100 UNIDADES A $408
	BANDEJAS	BANDEJAS DE CARTON REDONDAS	    Nº 13	$56,00	100,00	$50,38	8,00	$403,04	10,04	PAQ	PAQ DE 100 UNID.  DE     Nº 13 A $56 C/U	8 PAQS DE $50,38 C/U A $403,04	0,08 PAQS DE 100 UNIDADES A $403,04
	BANDEJAS	BANDEJAS DE CARTON REDONDAS	    Nº 13,5	$65,00	100,00	$57,67	6,00	$346,02	11,28	PAQ	PAQ DE 100 UNID.  DE     Nº 13,5 A $65 C/U	6 PAQS DE $57,67 C/U A $346,02	0,06 PAQS DE 100 UNIDADES A $346,02
	BANDEJAS	BANDEJAS DE CARTON REDONDAS	    Nº 14	$95,00	100,00	$84,00	4,00	$336,00	11,58	PAQ	PAQ DE 100 UNID.  DE     Nº 14 A $95 C/U	4 PAQS DE $84 C/U A $336	0,04 PAQS DE 100 UNIDADES A $336
	BANDEJAS	BANDEJAS DE CARTON REDONDAS	    Nº 15	$108,00	100,00	$96,00	4,00	$384,00	11,11	PAQ	PAQ DE 100 UNID.  DE     Nº 15 A $108 C/U	4 PAQS DE $96 C/U A $384	0,04 PAQS DE 100 UNIDADES A $384
	BANDEJAS	BANDEJAS DE CARTON REDONDAS	    Nº 16	$115,00	100,00	$102,00	4,00	$408,00	11,30	PAQ	PAQ DE 100 UNID.  DE     Nº 16 A $115 C/U	4 PAQS DE $102 C/U A $408	0,04 PAQS DE 100 UNIDADES A $408
													
COD.			         BANDEJAS PLASTICAS COMUNES	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BANDEJAS	BANDEJAS PLASTICAS COMUNES	101	$30,00	100,00	$26,88	8,00	$215,04	10,40	PAQ	PAQ DE 100 UNID.  DE 101 A $30 C/U	8 PAQS DE $26,88 C/U A $215,04	0,08 PAQS DE 100 UNIDADES A $215,04
	BANDEJAS	BANDEJAS PLASTICAS COMUNES	102	$42,00	100,00	$37,50	8,00	$300,00	10,71	PAQ	PAQ DE 100 UNID.  DE 102 A $42 C/U	8 PAQS DE $37,5 C/U A $300	0,08 PAQS DE 100 UNIDADES A $300
	BANDEJAS	BANDEJAS PLASTICAS COMUNES	103	$59,00	100,00	$52,75	8,00	$422,00	10,59	PAQ	PAQ DE 100 UNID.  DE 103 A $59 C/U	8 PAQS DE $52,75 C/U A $422	0,08 PAQS DE 100 UNIDADES A $422
	BANDEJAS	BANDEJAS PLASTICAS COMUNES	105	$88,00	100,00	$79,00	4,00	$316,00	10,23	PAQ	PAQ DE 100 UNID.  DE 105 A $88 C/U	4 PAQS DE $79 C/U A $316	0,04 PAQS DE 100 UNIDADES A $316
	BANDEJAS	BANDEJAS PLASTICAS COMUNES	107	$155,00	100,00	$139,50	4,00	$558,00	10,00	PAQ	PAQ DE 100 UNID.  DE 107 A $155 C/U	4 PAQS DE $139,5 C/U A $558	0,04 PAQS DE 100 UNIDADES A $558
													
COD.			   BANDEJAS PLASTICAS P/ MICROONDAS 	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BANDEJAS	BANDEJAS PLASTICAS PARA MICROONDAS	101	$42,00	100,00	$37,50	8,00	$300,00	10,71	PAQ	PAQ DE 100 UNID.  DE 101 A $42 C/U	8 PAQS DE $37,5 C/U A $300	0,08 PAQS DE 100 UNIDADES A $300
	BANDEJAS	BANDEJAS PLASTICAS PARA MICROONDAS	102	$64,00	100,00	$57,75	8,00	$462,00	9,77	PAQ	PAQ DE 100 UNID.  DE 102 A $64 C/U	8 PAQS DE $57,75 C/U A $462	0,08 PAQS DE 100 UNIDADES A $462
	BANDEJAS	BANDEJAS PLASTICAS PARA MICROONDAS	103	$94,00	100,00	$85,00	8,00	$680,00	9,57	PAQ	PAQ DE 100 UNID.  DE 103 A $94 C/U	8 PAQS DE $85 C/U A $680	0,08 PAQS DE 100 UNIDADES A $680
	BANDEJAS	BANDEJAS PLASTICAS PARA MICROONDAS	105	$128,00	100,00	$115,50	4,00	$462,00	9,77	PAQ	PAQ DE 100 UNID.  DE 105 A $128 C/U	4 PAQS DE $115,5 C/U A $462	0,04 PAQS DE 100 UNIDADES A $462
	BANDEJAS	BANDEJAS PLASTICAS PARA MICROONDAS	107	$187,00	100,00	$168,50	4,00	$674,00	9,89	PAQ	PAQ DE 100 UNID.  DE 107 A $187 C/U	4 PAQS DE $168,5 C/U A $674	0,04 PAQS DE 100 UNIDADES A $674
													
COD.			     CAJAS DE PIZZAS Y EMPANADAS M/M	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	CAJAS	CAJAS DE PIZZAS LISAS	MICRO  M/M GRANDE    	$2,10	100,00	$2,00	10,00	$20,00	4,76	PAQ	PAQ DE 100 UNID.  DE MICRO  M/M GRANDE     A $2,1 C/U	10 PAQS DE $2 C/U A $20	0,1 PAQS DE 100 UNIDADES A $20
	CAJAS	CAJAS DE PIZZAS LISAS	MICRO  M/M CHICA         	$2,05	100,00	$1,95	10,00	$19,50	4,88	PAQ	PAQ DE 100 UNID.  DE MICRO  M/M CHICA          A $2,05 C/U	10 PAQS DE $1,95 C/U A $19,5	0,1 PAQS DE 100 UNIDADES A $19,5
	CAJAS	CAJAS DE EMPANADAS LISAS	MICRO  M/M X 12   	$2,10	100,00	$2,00	10,00	$20,00	4,76	PAQ	PAQ DE 100 UNID.  DE MICRO  M/M X 12    A $2,1 C/U	10 PAQS DE $2 C/U A $20	0,1 PAQS DE 100 UNIDADES A $20
	CAJAS	CAJAS DE EMPANADAS LISAS	MICRO  M/M X 18   	$2,10	100,00	$2,00	10,00	$20,00	4,76	PAQ	PAQ DE 100 UNID.  DE MICRO  M/M X 18    A $2,1 C/U	10 PAQS DE $2 C/U A $20	0,1 PAQS DE 100 UNIDADES A $20
													
COD.			      CAJAS DE PIZZA Y EMP /ESTANDAR/	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	CAJAS	CAJAS DE PIZZAS ESTANDAR 1 COLOR	MICRO  M/M GR  	$2,30	100,00	$2,20	10,00	$22,00	4,35	PAQ	PAQ DE 100 UNID.  DE MICRO  M/M GR   A $2,3 C/U	10 PAQS DE $2,2 C/U A $22	0,1 PAQS DE 100 UNIDADES A $22
	CAJAS	CAJAS DE PIZZAS ESTANDAR 1 COLOR	MICRO  M/M CH  	$2,20	100,00	$2,10	10,00	$21,00	4,55	PAQ	PAQ DE 100 UNID.  DE MICRO  M/M CH   A $2,2 C/U	10 PAQS DE $2,1 C/U A $21	0,1 PAQS DE 100 UNIDADES A $21
	CAJAS	CAJAS DE EMPANADAS ESTANDAR 1 COLOR	MICRO  M/M EMP X 12  	$2,30	100,00	$2,20	10,00	$22,00	4,35	PAQ	PAQ DE 100 UNID.  DE MICRO  M/M EMP X 12   A $2,3 C/U	10 PAQS DE $2,2 C/U A $22	0,1 PAQS DE 100 UNIDADES A $22
	CAJAS	CAJAS DE EMPANADAS ESTANDAR 1 COLOR	MICRO  M/M EMP X 18  	$2,30	100,00	$2,20	10,00	$22,00	4,35	PAQ	PAQ DE 100 UNID.  DE MICRO  M/M EMP X 18   A $2,3 C/U	10 PAQS DE $2,2 C/U A $22	0,1 PAQS DE 100 UNIDADES A $22
													
COD.			     CAJAS DE PIZZAS Y EMPANADAS B/M	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	CAJAS		MICRO  B/M  GRANDE   (LISA)	$3,35	100,00	$3,25	10,00	$32,50	2,99	PAQ	PAQ DE 100 UNID.  DE MICRO  B/M  GRANDE   (LISA) A $3,35 C/U	10 PAQS DE $3,25 C/U A $32,5	0,1 PAQS DE 100 UNIDADES A $32,5
	CAJAS		MICRO  B/M  CHICA        (LISA)	$3,30	100,00	$3,20	10,00	$32,00	3,03	PAQ	PAQ DE 100 UNID.  DE MICRO  B/M  CHICA        (LISA) A $3,3 C/U	10 PAQS DE $3,2 C/U A $32	0,1 PAQS DE 100 UNIDADES A $32
	CAJAS		MICRO  B/M  EMP X 12  (LISA)	$3,30	100,00	$3,20	10,00	$32,00	3,03	PAQ	PAQ DE 100 UNID.  DE MICRO  B/M  EMP X 12  (LISA) A $3,3 C/U	10 PAQS DE $3,2 C/U A $32	0,1 PAQS DE 100 UNIDADES A $32
	CAJAS		MICRO  B/M  EMP X 18  (LISA)	$3,30	100,00	$3,20	10,00	$32,00	3,03	PAQ	PAQ DE 100 UNID.  DE MICRO  B/M  EMP X 18  (LISA) A $3,3 C/U	10 PAQS DE $3,2 C/U A $32	0,1 PAQS DE 100 UNIDADES A $32
													
COD.			          CAJAS DE PIZZAS y RAVIOLES	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	CAJAS	CAJAS DE PIZZAS GRIS GRANDE	comun         N°50	$1,12	100,00	$1,02	10,00	$10,20	8,93	PAQ	PAQ DE 100 UNID.  DE comun         N°50 A $1,12 C/U	10 PAQS DE $1,02 C/U A $10,2	0,1 PAQS DE 100 UNIDADES A $10,2
	CAJAS	CAJAS DE PIZZAS GRIS GRANDE	reforzada   N°45	$1,23	100,00	$1,13	10,00	$11,30	8,13	PAQ	PAQ DE 100 UNID.  DE reforzada   N°45 A $1,23 C/U	10 PAQS DE $1,13 C/U A $11,3	0,1 PAQS DE 100 UNIDADES A $11,3
	CAJAS	CAJAS DE PIZZAS GRIS GRANDE	super          N°40	$1,30	100,00	$1,20	10,00	$12,00	7,69	PAQ	PAQ DE 100 UNID.  DE super          N°40 A $1,3 C/U	10 PAQS DE $1,2 C/U A $12	0,1 PAQS DE 100 UNIDADES A $12
	CAJAS	CAJAS PARA RAVIOLES	comun	$1,10	100,00	$1,00	10,00	$10,00	9,09	PAQ	PAQ DE 100 UNID.  DE comun A $1,1 C/U	10 PAQS DE $1 C/U A $10	0,1 PAQS DE 100 UNIDADES A $10
	CAJAS	CAJAS PARA RAVIOLES	reforzada	$1,30	100,00	$1,20	10,00	$12,00	7,69	PAQ	PAQ DE 100 UNID.  DE reforzada A $1,3 C/U	10 PAQS DE $1,2 C/U A $12	0,1 PAQS DE 100 UNIDADES A $12
													
COD.			                 CUBIERTOS PLASTICOS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	CUBIERTOS PLASTICO	CUCHILLOS	VIRGEN	$0,23	100,00	$0,20	10,00	$2,00	13,04	PAQ	PAQ DE 100 UNID.  DE VIRGEN A $0,23 C/U	10 PAQS DE $0,2 C/U A $2	0,1 PAQS DE 100 UNIDADES A $2
	CUBIERTOS PLASTICO	CUCHILLOS	COMUN	$0,17	100,00	$0,15	10,00			PAQ	PAQ DE 100 UNID.  DE COMUN A $0,17 C/U	10 PAQS DE $0,15 C/U A $	0,1 PAQS DE 100 UNIDADES A $
	CUBIERTOS PLASTICO	TENEDORES	VIRGEN	$0,23	100,00	$0,20	10,00	$2,00	13,04	PAQ	PAQ DE 100 UNID.  DE VIRGEN A $0,23 C/U	10 PAQS DE $0,2 C/U A $2	0,1 PAQS DE 100 UNIDADES A $2
	CUBIERTOS PLASTICO	TENEDORES	COMUN	$0,17	100,00	$0,15	10,00			PAQ	PAQ DE 100 UNID.  DE COMUN A $0,17 C/U	10 PAQS DE $0,15 C/U A $	0,1 PAQS DE 100 UNIDADES A $
	CUBIERTOS PLASTICO	CUCHARAS	SUNDAE  VIRGEN	$0,15	100,00	$0,13	10,00	$1,25	16,67	PAQ	PAQ DE 100 UNID.  DE SUNDAE  VIRGEN A $0,15 C/U	10 PAQS DE $0,125 C/U A $1,25	0,1 PAQS DE 100 UNIDADES A $1,25
	CUBIERTOS PLASTICO	CUCHARAS	SUNDAE  COMUN	$0,11	100,00	$0,10	10,00	$1,00	9,09	PAQ	PAQ DE 100 UNID.  DE SUNDAE  COMUN A $0,11 C/U	10 PAQS DE $0,1 C/U A $1	0,1 PAQS DE 100 UNIDADES A $1
	CUBIERTOS PLASTICO	CUCHARAS	SOPERA  VIRGEN	$0,32	100,00	$0,29	10,00	$2,90	9,38	PAQ	PAQ DE 100 UNID.  DE SOPERA  VIRGEN A $0,32 C/U	10 PAQS DE $0,29 C/U A $2,9	0,1 PAQS DE 100 UNIDADES A $2,9
	CUBIERTOS PLASTICO	CUCHARAS	PARA HELADO PALA VIRGEN	$0,50	1.000,00	$0,45	10,00	$4,50	10,00	PAQ	PAQ DE 1000 UNID.  DE PARA HELADO PALA VIRGEN A $0,5 C/U	10 PAQS DE $0,45 C/U A $4,5	0,01 PAQS DE 1000 UNIDADES A $4,5
	CUBIERTOS PLASTICO	CUCHARAS	PARA HELADO PALA COMUN	$0,40	1.000,00	$0,37	10,00	$3,70	7,50	PAQ	PAQ DE 1000 UNID.  DE PARA HELADO PALA COMUN A $0,4 C/U	10 PAQS DE $0,37 C/U A $3,7	0,01 PAQS DE 1000 UNIDADES A $3,7
	CUBIERTOS PLASTICO	AGITADORES	PARA CAFÉ CRISTAL	$0,35	100,00	$0,32	10,00	$3,20	8,57	BOLSA	BOLSA DE 100 UNID.  DE PARA CAFÉ CRISTAL A $0,35 C/U	10 BOLSAS DE $0,32 C/U A $3,2	0,1 BOLSAS DE 100 UNIDADES A $3,2
	CUBIERTOS PLASTICO	AGITADORES	PARA TRAGO LARGO CRISTAL	$0,25	100,00	$0,23	10,00	$2,25	10,00	BOLSA	BOLSA DE 100 UNID.  DE PARA TRAGO LARGO CRISTAL A $0,25 C/U	10 BOLSAS DE $0,225 C/U A $2,25	0,1 BOLSAS DE 100 UNIDADES A $2,25
	CUBIERTOS PLASTICO	PINCHES	PARA COPETIN (ESPADITAS)	$0,45	100,00	$0,40	5,00	$2,02	10,22	BOLSA	BOLSA DE 100 UNID.  DE PARA COPETIN (ESPADITAS) A $0,45 C/U	5 BOLSAS DE $0,404 C/U A $2,02	0,05 BOLSAS DE 100 UNIDADES A $2,02
													
COD.			                ENSALADERAS PLASTICAS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	VARIOS	ENSALADERAS PLASTICAS	MEDIANA (650cc)	$1,62	1,00	$1,45	100,00	$145,00	10,49	ENSALADERA	1 ENSALADERA DE MEDIANA (650cc) A $1,62	100 ENSALADERAS DE $1,45 C/U A $145	100 ENSALADERAS A $145
	VARIOS	ENSALADERAS PLASTICAS	GRANDE   (850cc)C/TAPA	$3,30	1,00	$2,98	100,00	$298,00	9,70	ENSALADERA	1 ENSALADERA DE GRANDE   (850cc)C/TAPA A $3,3	100 ENSALADERAS DE $2,98 C/U A $298	100 ENSALADERAS A $298
	VARIOS	TAPAS PARA ENSALADERAS	(650cc)	$1,54	1,00	$1,38	100,00	$138,00	10,39	TAPA	1 TAPA DE (650cc) A $1,54	100 TAPAS DE $1,38 C/U A $138	100 TAPAS A $138
													
COD.			               GUANTES DESCARTABLES	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	VARIOS	GUANTES DESCARTABLES PLASTICO	X100	$10,00	100,00	$6,80	100,00	$680,00	32,00	PAQ	PAQ DE 100 UNID.  DE X100 A $10 C/U	100 PAQS DE $6,8 C/U A $680	1 PAQS DE 100 UNIDADES A $680
	VARIOS	GUANTES DESCARTABLES LATEX	SMALL, MEDIUM, LARGE	$80,00	100,00	$58,50	10,00	$585,00	26,88	CAJA	CAJA DE 100 UNID.  DE SMALL, MEDIUM, LARGE A $80 C/U	10 CAJAS DE $58,5 C/U A $585	0,1 CAJAS DE 100 UNIDADES A $585
													
COD.			                         HILOS Y CINTAS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	HILOS	HILO ALGODON	EN BOBINA 3 HERBAS	$17,00	C/U	$15,50	10,00	$155,00	8,82			10 S DE $15,5 C/U A $155	#VALUE!
	HILOS	HILO ALGODON	EN  OVILLOS X 50 GRS	$5,00	10,00	$2,24	10,00	$22,40	55,20	PAQ	PAQ DE 10 UNID.  DE EN  OVILLOS X 50 GRS A $5 C/U	10 PAQS DE $2,24 C/U A $22,4	1 PAQS DE 10 UNIDADES A $22,4
	HILOS	HILO CHORICERO	EN BOBINA X KILO	$25,00	C/U	$23,00	10,00	$230,00	8,00			10 S DE $23 C/U A $230	#VALUE!
	HILOS	HILO CHORICERO	EN OVILLO X 50 GRS	$5,00	10,00	$3,08	10,00	$30,80	38,40	PAQ	PAQ DE 10 UNID.  DE EN OVILLO X 50 GRS A $5 C/U	10 PAQS DE $3,08 C/U A $30,8	1 PAQS DE 10 UNIDADES A $30,8
	HILOS	HILO DE FORMIO	(sisal) X 30 MTS	$89,00	10,00	$80,00	10,00	$800,00	10,11	PAQ	PAQ DE 10 UNID.  DE (sisal) X 30 MTS A $89 C/U	10 PAQS DE $80 C/U A $800	1 PAQS DE 10 UNIDADES A $800
	HILOS	HILO RECUPERADO 	400 gr/aprox	$29,00	1,00	$24,00	8,00	$192,00	17,24	OVILLO	1 OVILLO DE 400 gr/aprox A $29	8 OVILLOS DE $24 C/U A $192	8 OVILLOS A $192
	HILOS		CINTA RECUPERADO (BOB X 2KG)	$39,00	C/U	$35,00	6,00	$210,00	10,26		#VALUE!	6 S DE $35 C/U A $210	#VALUE!
	HILOS	HILO CINTA	X 2 kg/aprox	$24,00	1,00	$18,00	12,00	$216,00	25,00	OVILLO	1 OVILLO DE X 2 kg/aprox A $24	12 OVILLOS DE $18 C/U A $216	12 OVILLOS A $216
													
COD.			                                TRIPODE         	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	VARIOS	TRIPODES	COMUN	$22,00	1,00	$19,20	10,00	$192,00	12,73	KILO	1 KILO DE COMUN A $22	10 KILOS DE $19,2 C/U A $192	10 KILOS A $192
	VARIOS	TRIPODES	VIRGEN	$31,00	1,00	$27,90	10,00	$279,00	10,00	KILO	1 KILO DE VIRGEN A $31	10 KILOS DE $27,9 C/U A $279	10 KILOS A $279
COD.			                SERVILLETAS A GRANEL                              X MENOR                                                                   X MAYOR	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	SERVILLETAS	SERVILLETAS A GRANEL	30 X 30 X 1000           ELEGANTE	$80,00	1.000,00	$72,00	1,00	$72,00	10,00	CAJA	CAJA DE 1000 UNID.  DE 30 X 30 X 1000           ELEGANTE A $80 C/U	1 CAJAS DE $72 C/U A $72	0,001 CAJAS DE 1000 UNIDADES A $72
	SERVILLETAS	SERVILLETAS A GRANEL	33 X 33 X 1000           ELEGANTE	$87,00	1.000,00	$78,30	1,00	$78,30	10,00	CAJA	CAJA DE 1000 UNID.  DE 33 X 33 X 1000           ELEGANTE A $87 C/U	1 CAJAS DE $78,3 C/U A $78,3	0,001 CAJAS DE 1000 UNIDADES A $78,3
	SERVILLETAS	SERVILLETAS A GRANEL	24 X 24 CMS               ECONOMICA	$75,00	2.000,00	$67,00	1,00	$67,00	10,67	CAJA	CAJA DE 2000 UNID.  DE 24 X 24 CMS               ECONOMICA A $75 C/U	1 CAJAS DE $67 C/U A $67	0,0005 CAJAS DE 2000 UNIDADES A $67
	SERVILLETAS	SERVILLETAS A GRANEL	18 X 18 CMS X 2000 	$48,00	2.000,00	$43,20	1,00	$43,20	10,00	CAJA	CAJA DE 2000 UNID.  DE 18 X 18 CMS X 2000  A $48 C/U	1 CAJAS DE $43,2 C/U A $43,2	0,0005 CAJAS DE 2000 UNIDADES A $43,2
	SERVILLETAS	SERVILLETAS A GRANEL	T/BAR X 10.000         	$95,00	10.000,00	$85,00	1,00	$85,00	10,53	CAJA	CAJA DE 10000 UNID.  DE T/BAR X 10.000          A $95 C/U	1 CAJAS DE $85 C/U A $85	0,0001 CAJAS DE 10000 UNIDADES A $85
	SERVILLETAS	TOALLAS INTERCALADAS	VYMAT 	$87,00	2.500,00	$84,60	1,00	$84,60	2,76	CAJA	CAJA DE 2500 UNID.  DE VYMAT  A $87 C/U	1 CAJAS DE $84,6 C/U A $84,6	0,0004 CAJAS DE 2500 UNIDADES A $84,6
	SERVILLETAS	TOALLAS INTERCALADAS	(4pliegos) elegante	$140,00	2.400,00	$126,00	1,00	$126,00	10,00	CAJA	CAJA DE 2400 UNID.  DE (4pliegos) elegante A $140 C/U	1 CAJAS DE $126 C/U A $126	0,0004166666667 CAJAS DE 2400 UNIDADES A $126
	SERVILLETAS	LIMPIA MANOS	20cm X 400mt ELEGANTE	$110,00	1,00	$103,00	2,00	$206,00	6,36	ROLLO	1 ROLLO DE 20cm X 400mt ELEGANTE A $110	2 ROLLOS DE $103 C/U A $206	2 ROLLOS A $206
	SERVILLETAS	LIMPIA MANOS	25cm X 400mt ELEGANTE	$130,00	1,00	$122,00	2,00	$244,00	6,15	ROLLO	1 ROLLO DE 25cm X 400mt ELEGANTE A $130	2 ROLLOS DE $122 C/U A $244	2 ROLLOS A $244
	SERVILLETAS	LIMPIA MANOS	25cm X 400mt (COMUN)	$80,00	1,00	$80,00	2,00	$160,00	0,00	ROLLO	1 ROLLO DE 25cm X 400mt (COMUN) A $80	2 ROLLOS DE $80 C/U A $160	2 ROLLOS A $160
													
COD.			                             SORBETES	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	SORBETES	SORBETES	1000 ENSOBRADOS	$65,00	1.000,00	$57,00	1,00	$57,00	12,31	CAJA	CAJA DE 1000 UNID.  DE 1000 ENSOBRADOS A $65 C/U	1 CAJAS DE $57 C/U A $57	0,001 CAJAS DE 1000 UNIDADES A $57
	SORBETES	SORBETES	100   ENSORBADOS	$10,00	100,00	$10,00	1,00	$10,00	0,00	PAQ	PAQ DE 100 UNID.  DE 100   ENSORBADOS A $10 C/U	1 PAQS DE $10 C/U A $10	0,01 PAQS DE 100 UNIDADES A $10
	SORBETES	SORBETES	600 SIN ENSOBRAR NEGRO	$45,00	1,00	$40,50	8,00	$324,00	10,00	BOLSA	1 BOLSA DE 600 SIN ENSOBRAR NEGRO A $45	8 BOLSAS DE $40,5 C/U A $324	8 BOLSAS A $324
	SORBETES	SORBETES	300 COLOR FLEXIBLE	$65,00	1,00	$58,00	1,00	$58,00	10,77	BOLSA	1 BOLSA DE 300 COLOR FLEXIBLE A $65	1 BOLSAS DE $58 C/U A $58	1 BOLSAS A $58
													
COD.			          PAPELES/ BOBINA/RESMAS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	PAPELES	PAPELES DE DIARIO	 EN HOJAS 30 X 40	$17,50	1,00	$16,20	10,00	$162,00	7,43	PAQ	1 PAQ DE  EN HOJAS 30 X 40 A $17,5	10 PAQS DE $16,2 C/U A $162	10 PAQS A $162
	PAPELES	PAPELES DE DIARIO	 EN HOJAS 35 X 45	$17,50	1,00	$16,20	10,00	$162,00	7,43	PAQ	1 PAQ DE  EN HOJAS 35 X 45 A $17,5	10 PAQS DE $16,2 C/U A $162	10 PAQS A $162
	PAPELES	PAPELES DE DIARIO	 EN HOJAS 40 X 50	$17,50	1,00	$16,20	10,00	$162,00	7,43	PAQ	1 PAQ DE  EN HOJAS 40 X 50 A $17,5	10 PAQS DE $16,2 C/U A $162	10 PAQS A $162
	PAPELES	PAPELES DE DIARIO	 EN HOJAS 45 X 60	$17,50	1,00	$16,20	10,00	$162,00	7,43	PAQ	1 PAQ DE  EN HOJAS 45 X 60 A $17,5	10 PAQS DE $16,2 C/U A $162	10 PAQS A $162
	PAPELES	PAPELES DE DIARIO	 EN HOJAS 50 X 70	$17,50	1,00	$16,20	10,00	$162,00	7,43	PAQ	1 PAQ DE  EN HOJAS 50 X 70 A $17,5	10 PAQS DE $16,2 C/U A $162	10 PAQS A $162
	PAPELES	PAPELES DE DIARIO	 EN HOJAS 64 X 90	$17,50	1,00	$16,20	10,00	$162,00	7,43	PAQ	1 PAQ DE  EN HOJAS 64 X 90 A $17,5	10 PAQS DE $16,2 C/U A $162	10 PAQS A $162
	BOBINAS	BOBINA DE PAPEL DIARIO	 40 CMS	$18,00	0,40	$16,20	8,00	$129,60	10,00	KILO	0,4 KILOS  DE  40 CMS A $18 C/U	8 KILOS DE $16,2 C/U A $129,6	20 KILOS A $129,6
	BOBINAS	BOBINA DE PAPEL DIARIO	 60 CMS	$18,00	0,40	$13,92	12,00	$167,04	22,67	KILO	0,4 KILOS  DE  60 CMS A $18 C/U	12 KILOS DE $13,92 C/U A $167,04	30 KILOS A $167,04
	BOBINAS	BOBINAS FANTASIA	40 CMS	$29,00	1,00	$3,25	8,00	$26,00	88,79	KILO	1 KILO DE 40 CMS A $29	8 KILOS DE $3,25 C/U A $26	8 KILOS A $26
	BOBINAS	BOBINAS FANTASIA	60 CMS	$29,00	1,00	$2,60	10,00	$26,00	91,03	KILO	1 KILO DE 60 CMS A $29	10 KILOS DE $2,6 C/U A $26	10 KILOS A $26
	BOBINAS	BOBINAS LINEA DORADA	40 CMS	$39,00	1,00	$4,50	8,00	$36,00	88,46	KILO	1 KILO DE 40 CMS A $39	8 KILOS DE $4,5 C/U A $36	8 KILOS A $36
	BOBINAS	BOBINAS LINEA DORADA	60 CMS	$39,00	1,00	$3,60	10,00	$36,00	90,77	KILO	1 KILO DE 60 CMS A $39	10 KILOS DE $3,6 C/U A $36	10 KILOS A $36
	BOBINAS	KRAFT EN BOBINA	40 CMS (50/80Grs)	$18,50	1,00	$2,13	8,00	$17,04	88,49	KILO	1 KILO DE 40 CMS (50/80Grs) A $18,5	8 KILOS DE $2,13 C/U A $17,04	8 KILOS A $17,04
	BOBINAS	KRAFT EN BOBINA	60 CMS (50/80Grs)	$18,50	1,00	$1,70	10,00	$17,00	90,81	KILO	1 KILO DE 60 CMS (50/80Grs) A $18,5	10 KILOS DE $1,7 C/U A $17	10 KILOS A $17
	BOBINAS	BOBINA PANEDARIA	PIZZERIA 40 CMS	$29,00	1,00	$3,25	8,00	$26,00	88,79	KILO	1 KILO DE PIZZERIA 40 CMS A $29	8 KILOS DE $3,25 C/U A $26	8 KILOS A $26
	BOBINAS	BOBINA PANEDARIA	PIZZERIA 60 CMS	$29,00	1,00	$2,60	10,00	$26,00	91,03	KILO	1 KILO DE PIZZERIA 60 CMS A $29	10 KILOS DE $2,6 C/U A $26	10 KILOS A $26
	FONDOS	FONDO PIZZERO	COMUN 31 X 31	$17,50	1,00	$16,20	10,00	$162,00	7,43	KILO	1 KILO DE COMUN 31 X 31 A $17,5	10 KILOS DE $16,2 C/U A $162	10 KILOS A $162
	FONDOS	FONDO PIZZERO	COMUN 25 X 25	$17,50	1,00	$16,20	10,00	$162,00	7,43	KILO	1 KILO DE COMUN 25 X 25 A $17,5	10 KILOS DE $16,2 C/U A $162	10 KILOS A $162
	FONDOS	FONDO PIZZERO	SATINADO 31 X 31 (GR)	$20,00	1,00	$18,00	10,00	$180,00	10,00	KILO	1 KILO DE SATINADO 31 X 31 (GR) A $20	10 KILOS DE $18 C/U A $180	10 KILOS A $180
